ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"5.161.81.198","elite","AS213230","US","Hetzner Online GmbH","91","Hetzner Online GmbH","8080","http","25800","100","8","8","2025-01-14T12:19:51.802Z","584"
"47.88.18.204","transparent","AS45102","US","Alibaba (US) Technology Co., Ltd.","146","Alibaba.com LLC","8023","http","23600","75","6","8","2025-01-14T12:16:24.000Z","434"
"122.3.77.27","transparent","AS9299","PH","Philippine Long Distance Telephone Co.","235","Philippine Long Distance Telephone Company","8082","http","10595","96","55","57","2025-01-14T12:14:23.700Z","258"
"79.175.189.50","transparent","AS25184","IR","Afranet","97","NoAvaran Fanavazeh","80","http","21103","100","7","7","2025-01-14T12:12:28.807Z","716"
"50.62.183.223","elite","AS398101","US","GoDaddy.com, LLC","142","GoDaddy.com, LLC","80","http","24502","67","10","15","2025-01-14T12:11:59.704Z","785"
"109.61.42.223","elite","N/A","HU","G-Core Labs S.A.","106","N/A","80","http","23892","99","68","69","2025-01-14T12:11:59.709Z","307"
"183.240.196.55","elite","AS56040","CN","China Mobile Communications Corporation","295","China Mobile Communications Corporation","38080","http","1587","94","167","177","2025-01-14T12:11:39.300Z","4689"
"36.255.84.69","transparent","AS132559","IN","Gatik Business Solutions","143","Gatik Business Solutions","83","http","11390","100","15","15","2025-01-14T12:10:27.501Z","708"
"143.110.232.177","elite","AS14061","US","DigitalOcean, LLC","199","DigitalOcean, LLC","80","http","24417","100","7","7","2025-01-14T12:09:35.996Z","700"
"61.186.243.6","elite","AS4134","CN","Chinanet","183","Fuhuayuan","9002","http","26097","100","8","8","2025-01-14T12:08:23.002Z","446"
"121.101.131.128","transparent","AS131706","ID","PT SELARAS CITRA TERABIT","192","Terabit","8080","http","19114","89","8","9","2025-01-14T12:07:37.006Z","438"
"103.214.9.95","transparent","AS140810","VN","MEGACORE","217","Megacore Technology Company Limited","3128","http","10503","100","60","60","2025-01-14T12:05:35.899Z","311"
"103.59.213.29","transparent","AS58678","IN","India Gaming Center","199","N/A","8080","http","24908","100","13","13","2025-01-14T12:05:12.702Z","289"
"23.82.137.161","elite","AS393886","US","Leaseweb USA, Inc.","107","Leaseweb USA, Inc","80","http","25507","100","7","7","2025-01-14T12:03:25.708Z","455"
"113.108.13.120","elite","AS4134","CN","Chinanet","218","Chinanet GD","8083","http","32097","100","15","15","2025-01-14T11:59:25.502Z","316"
"72.10.160.170","elite","AS36666","CA","GloboTech Communications","84","N/A","5163","http","20586","100","8","8","2025-01-14T11:58:30.994Z","475"
"98.64.128.182","elite","AS8075","NL","Microsoft Corporation","12","Microsoft Azure Cloud (westeurope)","3128","http","31015","86","12","14","2025-01-14T11:58:09.409Z","520"
"102.50.248.123","transparent","AS6713","MA","Maroc telecom static ip adress","45","N/A","9172","http","21605","93","13","14","2025-01-14T11:57:15.102Z","273"
"211.202.167.56","elite","AS9318","KR","SK Broadband Co Ltd","299","broadNnet","80","http","24202","100","14","14","2025-01-14T11:57:14.304Z","434"
"195.114.209.50","elite","AS57286","ES","Gigas Hosting SL","20","Gigas Hosting S.L.","80","http","19191","93","13","14","2025-01-14T11:56:27.903Z","1193"
"101.255.118.9","transparent","AS38511","ID","PT Remala Abadi","181","N/A","3127","http","23896","100","14","14","2025-01-14T11:55:55.196Z","4497"
"92.115.107.19","transparent","AS8926","MD","JSC MOLDTELECOM SA","44","JSC Moldtelecom S.A.","8080","http","22890","100","6","6","2025-01-14T11:55:55.198Z","517"
"116.102.104.137","elite","AS24086","VN","Viettel Corporation","203","Viettel Group","10001","http","22013","100","14","14","2025-01-14T11:54:38.403Z","348"
"200.29.109.112","elite","AS10299","CO","Empresas Municipales De Cali E.i.c.e. E.S.P.","171","EMCALI - RANGOS FIJOS PPPoE","44749","http","15102","100","158","158","2025-01-14T11:54:38.792Z","3203"
"203.201.171.114","transparent","AS38778","ID","PT. Dutakom Wibawa Putra","392","Dnet POP","64321","http","15004","100","14","14","2025-01-14T11:54:19.797Z","272"
"203.112.223.126","transparent","AS17494","BD","Bangladesh Telecommunications Company Ltd.","159","Bangladesh Telegraph & Telephone Board","8080","http","19800","100","56","56","2025-01-14T11:53:21.195Z","282"
"45.84.138.40","elite","AS51167","DE","Contabo GmbH","14","Net1 GmbH","7605","http","19517","100","14","14","2025-01-14T11:53:21.197Z","559"
"38.183.146.31","transparent","AS140457","ID","PT Ikhlas Cipta Teknologi","200","PT Ikhlas Cipta Teknologi","8080","http","13107","100","15","15","2025-01-14T11:53:21.391Z","4899"
"31.214.171.217","transparent","AS60976","IR","Parsonline","90","Pars Online PJS","8060","http","20895","100","14","14","2025-01-14T11:52:06.891Z","301"
"190.121.153.68","transparent","AS27951","CO","Media Commerce Partners S.A","167","Corporacion Autonoma Regional De LA Orinoquia Corporinoquia","999","http","9596","100","15","15","2025-01-14T11:51:23.995Z","396"
"223.204.85.149","transparent","AS45758","TH","Triple T Broadband Public Company Limited","198","Triple T Broadband Public Company Limited","8080","http","29801","100","15","15","2025-01-14T11:49:15.993Z","275"
